local_path,filename,bytes,sha256,drive_root,drive_folder,drive_status,drive_verified,drive_path,notes
"verification/selection-exhaustive/evidence/AW/AW-005-008__PASS.png","AW-005-008__PASS.png","295381","4e2117de794b25e2824e82f2168cccb5b4f5d0331ebf858947191becb9181b70","MOLEXPLORER_SELECTION_A_BF_468AA79DBEC6F723","61_SCREENSHOTS","DRIVE_VERIFIED","true","https://drive.google.com/file/d/1SHTI5qVoyDh5KIda2kQyFFw0SGxZrAVD/view?usp=drivesdk","Uploaded and verified by Google Drive folder readback."
"verification/selection-exhaustive/evidence/AW/AW-006-001__PASS.png","AW-006-001__PASS.png","295280","be9dfb6723f1968db72fbbdb357b87286b1cd183cb2b1c89b5f5229df0b3aa47","MOLEXPLORER_SELECTION_A_BF_468AA79DBEC6F723","61_SCREENSHOTS","DRIVE_VERIFIED","true","https://drive.google.com/file/d/1j-NY7NZk0ki-smQWlXspTeXh3YK74M7b/view?usp=drivesdk","Uploaded and verified by Google Drive folder readback."
"verification/selection-exhaustive/evidence/AW/AW-006-002__PASS.png","AW-006-002__PASS.png","294966","b8aad09a674187c7e2835d534827519951678c365a9524dcd6fbebd083749b9a","MOLEXPLORER_SELECTION_A_BF_468AA79DBEC6F723","61_SCREENSHOTS","DRIVE_VERIFIED","true","https://drive.google.com/file/d/1WVUP6wCdZpOBdmYveJ66bNAEKYIdabu4/view?usp=drivesdk","Uploaded and verified by Google Drive folder readback."
"verification/selection-exhaustive/evidence/AW/AW-006-003__EMPTY_VALID.png","AW-006-003__EMPTY_VALID.png","294106","f9d878cdecd4f67b31e4ef3d238d4ab0aca21c62bb987b4de2ee616c18b7eeff","MOLEXPLORER_SELECTION_A_BF_468AA79DBEC6F723","61_SCREENSHOTS","DRIVE_VERIFIED","true","https://drive.google.com/file/d/1eokZ0cUvTExHXAk_2p2wqteknGPPx8-r/view?usp=drivesdk","Uploaded and verified by Google Drive folder readback."
"verification/selection-exhaustive/evidence/AW/AW-006-004__PASS.png","AW-006-004__PASS.png","294966","b8aad09a674187c7e2835d534827519951678c365a9524dcd6fbebd083749b9a","MOLEXPLORER_SELECTION_A_BF_468AA79DBEC6F723","61_SCREENSHOTS","DRIVE_VERIFIED","true","https://drive.google.com/file/d/19yb93HkcUGVB0jr9qdjhGqFVwMWxvg6u/view?usp=drivesdk","Uploaded and verified by Google Drive folder readback."
"verification/selection-exhaustive/evidence/AW/AW-006-005__PASS.png","AW-006-005__PASS.png","294941","e153fd1393d72003e3f3a4374099d36d0afc757d31864016eee0b800918233c4","MOLEXPLORER_SELECTION_A_BF_468AA79DBEC6F723","61_SCREENSHOTS","DRIVE_VERIFIED","true","https://drive.google.com/file/d/1EDOwEIM2mrJnRLpOzhJ_bp-2AVoY2t4y/view?usp=drivesdk","Uploaded and verified by Google Drive folder readback."
"verification/selection-exhaustive/evidence/AW/AW-006-006__PASS.png","AW-006-006__PASS.png","295401","857fba85b4d3529daeb14ae93a15a51e89756db755c47fbcfe173f3ce7842a7c","MOLEXPLORER_SELECTION_A_BF_468AA79DBEC6F723","61_SCREENSHOTS","DRIVE_VERIFIED","true","https://drive.google.com/file/d/1t7Gxb7sqkvwgoLZg3zoj5v0lXp_kOzTr/view?usp=drivesdk","Uploaded and verified by Google Drive folder readback."
"verification/selection-exhaustive/evidence/AW/AW-006-007__EMPTY_VALID.png","AW-006-007__EMPTY_VALID.png","294106","f9d878cdecd4f67b31e4ef3d238d4ab0aca21c62bb987b4de2ee616c18b7eeff","MOLEXPLORER_SELECTION_A_BF_468AA79DBEC6F723","61_SCREENSHOTS","DRIVE_VERIFIED","true","https://drive.google.com/file/d/1FeJssqPYeGzaH3Q_vymgfIwaLIZnu1C6/view?usp=drivesdk","Uploaded and verified by Google Drive folder readback."
"verification/selection-exhaustive/evidence/AW/AW-006-008__PASS.png","AW-006-008__PASS.png","295381","4e2117de794b25e2824e82f2168cccb5b4f5d0331ebf858947191becb9181b70","MOLEXPLORER_SELECTION_A_BF_468AA79DBEC6F723","61_SCREENSHOTS","DRIVE_VERIFIED","true","https://drive.google.com/file/d/16o9KFYQ9w7U_v30QmECvXWXe9KGjZ_0L/view?usp=drivesdk","Uploaded and verified by Google Drive folder readback."
"verification/selection-exhaustive/evidence/AW/AW-007-001__PASS.png","AW-007-001__PASS.png","295280","be9dfb6723f1968db72fbbdb357b87286b1cd183cb2b1c89b5f5229df0b3aa47","MOLEXPLORER_SELECTION_A_BF_468AA79DBEC6F723","61_SCREENSHOTS","DRIVE_VERIFIED","true","https://drive.google.com/file/d/1tbVswwh1zYmlBBHgoLWvAvAGFyta7HUK/view?usp=drivesdk","Uploaded and verified by Google Drive folder readback."
